round,client,labeled_count,ve_median,bal_acc,f1_macro,auc_ovr,pseudo_acc
15,RSNA,1160,1.6029503284359459,0.4785094503900743,0.4860388555587865,0.781701186783564,0.25
15,MENDELEY,1160,1.56482314509717,0.6686640584368788,0.6860522617385865,0.9124498237432398,0.53125
16,RSNA,1224,1.6045055936151442,0.48358019281656495,0.4916796480049788,0.7892601019990029,0.25
16,MENDELEY,1224,1.56342942653947,0.6600681396575776,0.6759172020177806,0.9120410301848677,0.484375
17,RSNA,1288,1.603976261443488,0.48388379306854723,0.49044506268755816,0.794638038531009,0.265625
17,MENDELEY,1288,1.557058801622134,0.6664661468434161,0.6873433390672206,0.9127380233667008,0.4375
18,RSNA,1352,1.6032103229720789,0.49776063119379205,0.5008462327716667,0.8054516264805296,0.234375
18,MENDELEY,1352,1.555982610534167,0.6608970411516115,0.681023969156825,0.9154907730908668,0.515625
19,RSNA,1416,1.60260917542406,0.5034153988469049,0.5049028426657102,0.8099495842775634,0.21875
19,MENDELEY,1416,1.5535278628707014,0.6752761304289097,0.6928885347323975,0.9155676907313719,0.5
20,RSNA,1480,1.6025002581996275,0.5156514899487818,0.5155289235892224,0.8155478269454853,0.171875
20,MENDELEY,1480,1.5582313610078682,0.6587277221033287,0.676869064588062,0.9173412029977026,0.4375
1,RSNA,264,1.602472857239177,0.40474218841364473,0.38468200730044255,0.7079637053272048,0.125
1,MENDELEY,264,1.6009930331440745,0.5501070452928734,0.5653740057335677,0.8611220603351718,0.203125
2,RSNA,328,1.6072084234687694,0.4118160176032674,0.3992821208001395,0.7159332215389048,0.25
2,MENDELEY,328,1.59676947488415,0.5630558630582705,0.5559565071359203,0.8744379199062593,0.421875
3,RSNA,392,1.6048975036798594,0.4156599281063147,0.3953439570708608,0.7213042473809539,0.03125
3,MENDELEY,392,1.5989702942609303,0.5751065878150706,0.5586398299658502,0.8852180013692974,0.265625
4,RSNA,456,1.6058162063572816,0.42194257408346686,0.4037603531359317,0.7314805122127398,0.171875
4,MENDELEY,456,1.5966232398294296,0.5697808051168111,0.5535916522771337,0.8847229479757402,0.203125
5,RSNA,520,1.6031712450911133,0.4498450251899607,0.4359236093624478,0.7387598693760205,0.28125
5,MENDELEY,520,1.5897692356960267,0.5888785838313756,0.577089062770337,0.8836572640557092,0.265625
6,RSNA,584,1.603947961007302,0.45680381972748146,0.4402096119787662,0.7512310359580525,0.21875
6,MENDELEY,584,1.5901864608737628,0.5776080410158434,0.5606461495172929,0.8815251773223031,0.375
7,RSNA,648,1.6046768438779317,0.4440320211980297,0.426595984278744,0.7515926613166123,0.171875
7,MENDELEY,648,1.5860811510710582,0.5880033570555917,0.5766264007788138,0.8818988989963703,0.265625
8,RSNA,712,1.6038091197148143,0.44763481973211655,0.4267583458980696,0.7514502681874929,0.265625
8,MENDELEY,712,1.5830466626116606,0.5905267585056769,0.5794323264896442,0.8862830108488378,0.296875
9,RSNA,776,1.604946813738201,0.4466988030638269,0.4328123661925122,0.753686856030966,0.203125
9,MENDELEY,776,1.5810882480055983,0.5681005608684933,0.5561260103537655,0.8825162402055357,0.484375
10,RSNA,840,1.603506388869337,0.46859676173377085,0.45386357721729575,0.7604975560174034,0.15625
10,MENDELEY,840,1.5794454146934134,0.595783226242812,0.5885905435822225,0.8852242620924826,0.390625
11,RSNA,904,1.6034458371716738,0.4642583618711762,0.44833136425932374,0.7614235893013059,0.265625
11,MENDELEY,904,1.5766167193539236,0.6039528747544651,0.595673102145857,0.8879543437589147,0.453125
12,RSNA,968,1.6036703591497101,0.4759861744409345,0.46268301905419695,0.7719698942640599,0.234375
12,MENDELEY,968,1.5765784477156783,0.6141413234696758,0.6165808217476461,0.8973118068548406,0.390625
13,RSNA,1032,1.6033509807063433,0.460393005344301,0.4475212578168488,0.7601202788010724,0.140625
13,MENDELEY,1032,1.5723142975831612,0.6335483089578007,0.639878777535287,0.8999244450121063,0.3125
14,RSNA,1096,1.6015229112090315,0.46909076997750754,0.4554365424269264,0.774582101399034,0.21875
